ap-northeast-3,db.r7i.24xlarge,Aurora MySQL,Standard,Instance(Hrs),Disk(GB-Mo),IOUsage(IOs)
ap-northeast-3,db.r7i.24xlarge,Aurora MySQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-3,db.r7i.24xlarge,Aurora PostgreSQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-3,db.r7i.24xlarge,Aurora PostgreSQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-3,db.r7i.32xlarge,Aurora MySQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-3,db.r7i.32xlarge,Aurora MySQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-3,db.r7i.32xlarge,Aurora PostgreSQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-3,db.r7i.32xlarge,Aurora PostgreSQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-3,db.r7g.24xlarge,Aurora MySQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-3,db.r7g.24xlarge,Aurora MySQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-3,db.r7g.24xlarge,Aurora PostgreSQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-3,db.r7g.24xlarge,Aurora PostgreSQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-3,db.r7g.32xlarge,Aurora MySQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-3,db.r7g.32xlarge,Aurora MySQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-3,db.r7g.32xlarge,Aurora PostgreSQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-3,db.r7g.32xlarge,Aurora PostgreSQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-3,db.r6i.24xlarge,Aurora MySQL,Standard,16.8000000000,0.1200000000,0.0000002400
ap-northeast-3,db.r6i.24xlarge,Aurora MySQL,IOOptimized,21.8400000000,0.2700000000,0
ap-northeast-3,db.r6i.24xlarge,Aurora PostgreSQL,Standard,16.8000000000,0.1200000000,0.0000002400
ap-northeast-3,db.r6i.24xlarge,Aurora PostgreSQL,IOOptimized,21.8400000000,0.2700000000,0
ap-northeast-3,db.r6i.32xlarge,Aurora MySQL,Standard,22.4000000000,0.1200000000,0.0000002400
ap-northeast-3,db.r6i.32xlarge,Aurora MySQL,IOOptimized,29.1200000000,0.2700000000,0
ap-northeast-3,db.r6i.32xlarge,Aurora PostgreSQL,Standard,22.4000000000,0.1200000000,0.0000002400
ap-northeast-3,db.r6i.32xlarge,Aurora PostgreSQL,IOOptimized,29.1200000000,0.2700000000,0
ap-northeast-3,db.r6g.24xlarge,Aurora MySQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-3,db.r6g.24xlarge,Aurora MySQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-3,db.r6g.24xlarge,Aurora PostgreSQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-3,db.r6g.24xlarge,Aurora PostgreSQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-3,db.r6g.32xlarge,Aurora MySQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-3,db.r6g.32xlarge,Aurora MySQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-3,db.r6g.32xlarge,Aurora PostgreSQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-3,db.r6g.32xlarge,Aurora PostgreSQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-2,db.r7i.24xlarge,Aurora MySQL,Standard,16.8000000000,0.1200000000,0.0000002400
ap-northeast-2,db.r7i.24xlarge,Aurora MySQL,IOOptimized,21.8400000000,0.2700000000,0
ap-northeast-2,db.r7i.24xlarge,Aurora PostgreSQL,Standard,16.8000000000,0.1200000000,0.0000002400
ap-northeast-2,db.r7i.24xlarge,Aurora PostgreSQL,IOOptimized,21.8400000000,0.2700000000,0
ap-northeast-2,db.r7i.32xlarge,Aurora MySQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-2,db.r7i.32xlarge,Aurora MySQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-2,db.r7i.32xlarge,Aurora PostgreSQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-2,db.r7i.32xlarge,Aurora PostgreSQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-2,db.r7g.24xlarge,Aurora MySQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-2,db.r7g.24xlarge,Aurora MySQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-2,db.r7g.24xlarge,Aurora PostgreSQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-2,db.r7g.24xlarge,Aurora PostgreSQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-2,db.r7g.32xlarge,Aurora MySQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-2,db.r7g.32xlarge,Aurora MySQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-2,db.r7g.32xlarge,Aurora PostgreSQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-2,db.r7g.32xlarge,Aurora PostgreSQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-2,db.r6i.24xlarge,Aurora MySQL,Standard,16.8000000000,0.1200000000,0.0000002400
ap-northeast-2,db.r6i.24xlarge,Aurora MySQL,IOOptimized,21.8400000000,0.2700000000,0
ap-northeast-2,db.r6i.24xlarge,Aurora PostgreSQL,Standard,16.8000000000,0.1200000000,0.0000002400
ap-northeast-2,db.r6i.24xlarge,Aurora PostgreSQL,IOOptimized,21.8400000000,0.2700000000,0
ap-northeast-2,db.r6i.32xlarge,Aurora MySQL,Standard,22.4000000000,0.1200000000,0.0000002400
ap-northeast-2,db.r6i.32xlarge,Aurora MySQL,IOOptimized,29.1200000000,0.2700000000,0
ap-northeast-2,db.r6i.32xlarge,Aurora PostgreSQL,Standard,22.4000000000,0.1200000000,0.0000002400
ap-northeast-2,db.r6i.32xlarge,Aurora PostgreSQL,IOOptimized,29.1200000000,0.2700000000,0
ap-northeast-2,db.r6g.24xlarge,Aurora MySQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-2,db.r6g.24xlarge,Aurora MySQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-2,db.r6g.24xlarge,Aurora PostgreSQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-2,db.r6g.24xlarge,Aurora PostgreSQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-2,db.r6g.32xlarge,Aurora MySQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-2,db.r6g.32xlarge,Aurora MySQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-2,db.r6g.32xlarge,Aurora PostgreSQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-2,db.r6g.32xlarge,Aurora PostgreSQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-1,db.r7i.24xlarge,Aurora MySQL,Standard,16.8000000000,0.1200000000,0.0000002400
ap-northeast-1,db.r7i.24xlarge,Aurora MySQL,IOOptimized,21.8400000000,0.2700000000,0
ap-northeast-1,db.r7i.24xlarge,Aurora PostgreSQL,Standard,16.8000000000,0.1200000000,0.0000002400
ap-northeast-1,db.r7i.24xlarge,Aurora PostgreSQL,IOOptimized,21.8400000000,0.2700000000,0
ap-northeast-1,db.r7i.32xlarge,Aurora MySQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-1,db.r7i.32xlarge,Aurora MySQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-1,db.r7i.32xlarge,Aurora PostgreSQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-1,db.r7i.32xlarge,Aurora PostgreSQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-1,db.r7g.24xlarge,Aurora MySQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-1,db.r7g.24xlarge,Aurora MySQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-1,db.r7g.24xlarge,Aurora PostgreSQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-1,db.r7g.24xlarge,Aurora PostgreSQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-1,db.r7g.32xlarge,Aurora MySQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-1,db.r7g.32xlarge,Aurora MySQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-1,db.r7g.32xlarge,Aurora PostgreSQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-1,db.r7g.32xlarge,Aurora PostgreSQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-1,db.r6i.24xlarge,Aurora MySQL,Standard,16.8000000000,0.1200000000,0.0000002400
ap-northeast-1,db.r6i.24xlarge,Aurora MySQL,IOOptimized,21.8400000000,0.2700000000,0
ap-northeast-1,db.r6i.24xlarge,Aurora PostgreSQL,Standard,16.8000000000,0.1200000000,0.0000002400
ap-northeast-1,db.r6i.24xlarge,Aurora PostgreSQL,IOOptimized,21.8400000000,0.2700000000,0
ap-northeast-1,db.r6i.32xlarge,Aurora MySQL,Standard,22.4000000000,0.1200000000,0.0000002400
ap-northeast-1,db.r6i.32xlarge,Aurora MySQL,IOOptimized,29.1200000000,0.2700000000,0
ap-northeast-1,db.r6i.32xlarge,Aurora PostgreSQL,Standard,22.4000000000,0.1200000000,0.0000002400
ap-northeast-1,db.r6i.32xlarge,Aurora PostgreSQL,IOOptimized,29.1200000000,0.2700000000,0
ap-northeast-1,db.r6g.24xlarge,Aurora MySQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-1,db.r6g.24xlarge,Aurora MySQL,IOOptimized,N/A,0.2700000000,0
ap-northeast-1,db.r6g.24xlarge,Aurora PostgreSQL,Standard,N/A,0.1200000000,0.0000002400
ap-northeast-1,db.r6g.24xlarge,Aurora PostgreSQL,IOOptimized,N/A,0.2700000000,0
